,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1739,1740,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-04-12
221,222,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-04-12
778,779,Agra,Fatehabad,Potato,Desi,FAQ,1100,1150,1120,2020-04-12
1240,1241,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020-04-12
1066,1067,Agra,Fatehpur Sikri,Potato,Local,FAQ,1250,1420,1340,2020-04-13
1738,1739,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-04-13
1571,1572,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-04-13
518,519,Agra,Agra,Potato,Desi,FAQ,1200,1350,1290,2020-04-13
1390,1391,Agra,Jarar,Potato,Desi,FAQ,900,1000,950,2020-04-13
777,778,Agra,Fatehabad,Potato,Desi,FAQ,1150,1200,1180,2020-04-13
220,221,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-04-13
517,518,Agra,Agra,Potato,Desi,FAQ,1250,1400,1310,2020-04-14
1065,1066,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1355,2020-04-14
1389,1390,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-14
1239,1240,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-14
1570,1571,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-14
776,777,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,2020-04-14
1737,1738,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-04-14
219,220,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,2020-04-14
1064,1065,Agra,Fatehpur Sikri,Potato,Local,FAQ,1240,1400,1320,2020-04-15
1388,1389,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-15
775,776,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2020-04-15
1736,1737,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-15
516,517,Agra,Agra,Potato,Desi,FAQ,1240,1400,1310,2020-04-15
1238,1239,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-15
218,219,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-04-15
774,775,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2020-04-16
1387,1388,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-16
515,516,Agra,Agra,Potato,Desi,FAQ,1220,1400,1300,2020-04-16
1237,1238,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-16
1063,1064,Agra,Fatehpur Sikri,Potato,Local,FAQ,1260,1400,1345,2020-04-16
1735,1736,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-04-16
1386,1387,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-17
1236,1237,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-17
514,515,Agra,Agra,Potato,Desi,FAQ,1250,1400,1325,2020-04-17
1062,1063,Agra,Fatehpur Sikri,Potato,Local,FAQ,1260,1420,1365,2020-04-17
217,218,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-04-17
1734,1735,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-17
1061,1062,Agra,Fatehpur Sikri,Potato,Local,FAQ,1260,1400,1325,2020-04-18
216,217,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-04-18
1733,1734,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-18
1235,1236,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-04-18
773,774,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-04-18
513,514,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-04-18
1569,1570,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-18
772,773,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,2020-04-19
215,216,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1270,2020-04-19
1385,1386,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-19
1732,1733,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-19
1568,1569,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-19
1234,1235,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-04-20
1060,1061,Agra,Fatehpur Sikri,Potato,Local,FAQ,1260,1400,1340,2020-04-20
214,215,Agra,Achnera,Potato,Desi,FAQ,1200,1320,1260,2020-04-20
771,772,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-04-20
1384,1385,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-20
1731,1732,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-20
1567,1568,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-20
1233,1234,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020-04-21
213,214,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-04-21
1059,1060,Agra,Fatehpur Sikri,Potato,Local,FAQ,1240,1400,1320,2020-04-21
1566,1567,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-21
1730,1731,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-21
1383,1384,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-21
1729,1730,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-22
1382,1383,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-22
1565,1566,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-22
1232,1233,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-22
1058,1059,Agra,Fatehpur Sikri,Potato,Local,FAQ,1260,1400,1345,2020-04-22
212,213,Agra,Achnera,Potato,Desi,FAQ,1280,1340,1310,2020-04-22
1231,1232,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-23
512,513,Agra,Agra,Potato,Desi,FAQ,1250,1400,1320,2020-04-23
211,212,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,2020-04-23
1057,1058,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1355,2020-04-23
1381,1382,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-23
1728,1729,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-23
210,211,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,2020-04-24
1230,1231,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-24
1380,1381,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-24
1056,1057,Agra,Fatehpur Sikri,Potato,Local,FAQ,1320,1450,1375,2020-04-24
511,512,Agra,Agra,Potato,Desi,FAQ,1250,1400,1325,2020-04-24
1727,1728,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-04-24
1055,1056,Agra,Fatehpur Sikri,Potato,Local,FAQ,1320,1450,1390,2020-04-25
1564,1565,Agra,Khairagarh,Potato,Desi,FAQ,1450,1550,1500,2020-04-25
1229,1230,Agra,Jagnair,Potato,Desi,FAQ,950,1050,1000,2020-04-25
1726,1727,Agra,Samsabad,Potato,Local,FAQ,1200,1500,1400,2020-04-25
209,210,Agra,Achnera,Potato,Desi,FAQ,1280,1380,1330,2020-04-25
510,511,Agra,Agra,Potato,Desi,FAQ,1250,1400,1325,2020-04-25
1379,1380,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-26
1725,1726,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-04-26
1228,1229,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-04-26
1724,1725,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-04-27
208,209,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,2020-04-27
509,510,Agra,Agra,Potato,Desi,FAQ,1280,1400,1330,2020-04-27
1378,1379,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-27
1054,1055,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1450,1380,2020-04-27
1227,1228,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-04-27
1563,1564,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-27
1723,1724,Agra,Samsabad,Potato,Local,FAQ,1000,1400,1400,2020-04-28
1226,1227,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-28
207,208,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,2020-04-28
1562,1563,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-28
1377,1378,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-28
508,509,Agra,Agra,Potato,Desi,FAQ,1280,1400,1325,2020-04-28
1053,1054,Agra,Fatehpur Sikri,Potato,Local,FAQ,1320,1460,1380,2020-04-28
1052,1053,Agra,Fatehpur Sikri,Potato,Local,FAQ,1360,1480,1410,2020-04-29
1225,1226,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-29
1376,1377,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-29
1561,1562,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-29
1722,1723,Agra,Samsabad,Potato,Local,FAQ,1200,1500,1400,2020-04-29
206,207,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-04-29
507,508,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-04-29
1560,1561,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-04-30
1224,1225,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-04-30
1375,1376,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-04-30
1051,1052,Agra,Fatehpur Sikri,Potato,Local,FAQ,1350,1460,1400,2020-04-30
506,507,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-04-30
1721,1722,Agra,Samsabad,Potato,Local,FAQ,1200,1400,1400,2020-04-30
1559,1560,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-01
1374,1375,Agra,Jarar,Potato,Desi,FAQ,1310,1400,1350,2020-05-01
1720,1721,Agra,Samsabad,Potato,Local,FAQ,1200,1400,1400,2020-05-01
1050,1051,Agra,Fatehpur Sikri,Potato,Local,FAQ,1380,1500,1440,2020-05-01
205,206,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-01
204,205,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-02
1049,1050,Agra,Fatehpur Sikri,Potato,Local,FAQ,1340,1480,1400,2020-05-02
505,506,Agra,Agra,Potato,Desi,FAQ,1280,1400,1325,2020-05-02
1558,1559,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-02
1223,1224,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020-05-02
1719,1720,Agra,Samsabad,Potato,Local,FAQ,1200,1400,1400,2020-05-02
203,204,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-03
1373,1374,Agra,Jarar,Potato,Desi,FAQ,1310,1400,1360,2020-05-03
1557,1558,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-03
1718,1719,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-05-03
504,505,Agra,Agra,Potato,Desi,FAQ,1280,1400,1340,2020-05-04
1372,1373,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020-05-04
1048,1049,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1450,1385,2020-05-04
770,771,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-04
1556,1557,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-04
1717,1718,Agra,Samsabad,Potato,Local,FAQ,1200,1400,1400,2020-05-04
202,203,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-04
1371,1372,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-05
1716,1717,Agra,Samsabad,Potato,Local,FAQ,1200,1500,1400,2020-05-05
201,202,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-05
1047,1048,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1440,1360,2020-05-05
1222,1223,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-05-05
1555,1556,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-05
503,504,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-05-05
769,770,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-05
502,503,Agra,Agra,Potato,Desi,FAQ,1260,1400,1330,2020-05-06
1370,1371,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-06
1554,1555,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-06
200,201,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-06
1715,1716,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-05-06
1221,1222,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-06
1046,1047,Agra,Fatehpur Sikri,Potato,Local,FAQ,1250,1400,1335,2020-05-06
768,769,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-06
1553,1554,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-07
1220,1221,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-07
1714,1715,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-05-07
501,502,Agra,Agra,Potato,Desi,FAQ,1280,1400,1325,2020-05-07
1369,1370,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-07
767,768,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-07
1045,1046,Agra,Fatehpur Sikri,Potato,Local,FAQ,1340,1480,1400,2020-05-07
1713,1714,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,2020-05-08
1368,1369,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-08
199,200,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1270,2020-05-08
1552,1553,Agra,Khairagarh,Potato,Desi,FAQ,1300,1400,1350,2020-05-08
1044,1045,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1450,1365,2020-05-08
1219,1220,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-08
500,501,Agra,Agra,Potato,Desi,FAQ,1300,1400,1340,2020-05-08
1043,1044,Agra,Fatehpur Sikri,Potato,Local,FAQ,1320,1450,1385,2020-05-09
198,199,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-05-09
1218,1219,Agra,Jagnair,Potato,Desi,FAQ,1400,1480,1440,2020-05-09
1712,1713,Agra,Samsabad,Potato,Local,FAQ,1200,1500,1400,2020-05-09
766,767,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-09
1551,1552,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-09
499,500,Agra,Agra,Potato,Desi,FAQ,1260,1400,1330,2020-05-09
1367,1368,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-10
765,766,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-10
1550,1551,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-10
1711,1712,Agra,Samsabad,Potato,Local,FAQ,1850,1950,1925,2020-05-10
197,198,Agra,Achnera,Potato,Desi,FAQ,1240,1340,1290,2020-05-10
1042,1043,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1350,2020-05-11
1549,1550,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-11
1710,1711,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-05-11
764,765,Agra,Fatehabad,Potato,Desi,FAQ,500,600,550,2020-05-11
196,197,Agra,Achnera,Potato,Desi,FAQ,1260,1340,1300,2020-05-11
498,499,Agra,Agra,Potato,Desi,FAQ,1280,1400,1325,2020-05-11
1217,1218,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020-05-11
1366,1367,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020-05-11
1548,1549,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-12
1709,1710,Agra,Samsabad,Potato,Local,FAQ,1000,1400,1200,2020-05-12
1041,1042,Agra,Fatehpur Sikri,Potato,Local,FAQ,1800,1940,1870,2020-05-12
497,498,Agra,Agra,Potato,Desi,FAQ,1280,1400,1335,2020-05-12
1365,1366,Agra,Jarar,Potato,Desi,FAQ,1200,1400,1300,2020-05-12
195,196,Agra,Achnera,Potato,Desi,FAQ,1270,1350,1310,2020-05-12
763,764,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-12
1216,1217,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020-05-12
1547,1548,Agra,Khairagarh,Potato,Desi,FAQ,1300,1400,1350,2020-05-13
1040,1041,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1355,2020-05-13
1215,1216,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-13
1708,1709,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-05-13
762,763,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-13
194,195,Agra,Achnera,Potato,Desi,FAQ,1270,1370,1320,2020-05-13
1364,1365,Agra,Jarar,Potato,Desi,FAQ,1100,1300,1200,2020-05-13
496,497,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-05-13
761,762,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-14
1039,1040,Agra,Fatehpur Sikri,Potato,Local,FAQ,1280,1420,1365,2020-05-14
1707,1708,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-14
1363,1364,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-14
1214,1215,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-14
495,496,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-05-14
494,495,Agra,Agra,Potato,Desi,FAQ,1260,1390,1325,2020-05-15
1362,1363,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-15
193,194,Agra,Achnera,Potato,Desi,FAQ,1280,1380,1320,2020-05-15
1038,1039,Agra,Fatehpur Sikri,Potato,Local,FAQ,1340,1480,1400,2020-05-15
760,761,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,2020-05-15
1706,1707,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-05-15
1213,1214,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-15
493,494,Agra,Agra,Potato,Desi,FAQ,1260,1400,1330,2020-05-16
1037,1038,Agra,Fatehpur Sikri,Potato,Local,FAQ,1350,1480,1415,2020-05-16
1705,1706,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-16
759,760,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-16
192,193,Agra,Achnera,Potato,Desi,FAQ,1330,1390,1360,2020-05-16
191,192,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,2020-05-17
758,759,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-17
1704,1705,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1200,2020-05-17
492,493,Agra,Agra,Potato,Desi,FAQ,1280,1400,1340,2020-05-17
1361,1362,Agra,Jarar,Potato,Desi,FAQ,1400,1450,1420,2020-05-17
1546,1547,Agra,Khairagarh,Potato,Desi,FAQ,1400,1500,1450,2020-05-17
491,492,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-05-18
1703,1704,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-18
1545,1546,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,2020-05-18
757,758,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-18
1212,1213,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-18
1360,1361,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-18
1036,1037,Agra,Fatehpur Sikri,Potato,Local,FAQ,1320,1450,1390,2020-05-18
190,191,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,2020-05-18
1359,1360,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-19
189,190,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,2020-05-19
1035,1036,Agra,Fatehpur Sikri,Potato,Local,FAQ,1340,1460,1400,2020-05-19
1544,1545,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-19
756,757,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-19
1211,1212,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020-05-19
1702,1703,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1200,2020-05-19
1701,1702,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-20
1543,1544,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-20
755,756,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-20
1358,1359,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-20
188,189,Agra,Achnera,Potato,Desi,FAQ,1240,1340,1290,2020-05-20
490,491,Agra,Agra,Potato,Desi,FAQ,1280,1400,1340,2020-05-20
1034,1035,Agra,Fatehpur Sikri,Potato,Local,FAQ,1370,1490,1425,2020-05-20
1542,1543,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,2020-05-21
754,755,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,2020-05-21
1210,1211,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-21
1033,1034,Agra,Fatehpur Sikri,Potato,Local,FAQ,1380,1500,1440,2020-05-21
489,490,Agra,Agra,Potato,Desi,FAQ,1280,1420,1350,2020-05-21
1700,1701,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-21
488,489,Agra,Agra,Potato,Desi,FAQ,1250,1420,1340,2020-05-22
1699,1700,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-22
1541,1542,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-22
1032,1033,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1090,1045,2020-05-22
753,754,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,2020-05-22
1209,1210,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020-05-22
187,188,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,2020-05-22
1357,1358,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-22
1698,1699,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-05-23
752,753,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2020-05-23
1031,1032,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1450,1380,2020-05-23
1208,1209,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-23
487,488,Agra,Agra,Potato,Desi,FAQ,1280,1400,1345,2020-05-23
186,187,Agra,Achnera,Potato,Desi,FAQ,1300,1390,1345,2020-05-23
751,752,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1230,2020-05-24
1356,1357,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-24
486,487,Agra,Agra,Potato,Desi,FAQ,1250,1400,1330,2020-05-24
1540,1541,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-24
185,186,Agra,Achnera,Potato,Desi,FAQ,1300,1360,1330,2020-05-24
1697,1698,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-24
750,751,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2020-05-25
1539,1540,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,2020-05-25
1030,1031,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1345,2020-05-25
1355,1356,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-25
485,486,Agra,Agra,Potato,Desi,FAQ,1250,1450,1340,2020-05-25
184,185,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,2020-05-25
1354,1355,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-26
1029,1030,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1430,1365,2020-05-26
1207,1208,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-26
749,750,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,2020-05-26
183,184,Agra,Achnera,Potato,Desi,FAQ,1320,1380,1350,2020-05-26
1696,1697,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-26
1538,1539,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-05-26
484,485,Agra,Agra,Potato,Desi,FAQ,1250,1450,1345,2020-05-26
1353,1354,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-27
1695,1696,Agra,Samsabad,Potato,Local,FAQ,1000,1300,1200,2020-05-27
1028,1029,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1420,1375,2020-05-27
748,749,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2020-05-27
182,183,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,2020-05-27
483,484,Agra,Agra,Potato,Desi,FAQ,1280,1420,1350,2020-05-27
1537,1538,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-27
1694,1695,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1200,2020-05-28
1027,1028,Agra,Fatehpur Sikri,Potato,Local,FAQ,1340,1480,1400,2020-05-28
482,483,Agra,Agra,Potato,Desi,FAQ,1250,1450,1340,2020-05-28
1206,1207,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020-05-28
747,748,Agra,Fatehabad,Potato,Desi,FAQ,1200,1280,1250,2020-05-28
1205,1206,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020-05-29
1536,1537,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-05-29
1352,1353,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020-05-29
1026,1027,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1450,1380,2020-05-29
746,747,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,2020-05-29
181,182,Agra,Achnera,Potato,Desi,FAQ,1300,1370,1335,2020-05-29
1693,1694,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1200,2020-05-29
481,482,Agra,Agra,Potato,Desi,FAQ,1280,1450,1350,2020-05-29
1025,1026,Agra,Fatehpur Sikri,Potato,Local,FAQ,1350,1480,1410,2020-05-30
1204,1205,Agra,Jagnair,Potato,Desi,FAQ,1380,1460,1420,2020-05-30
